"CubeId";"plimoinchq"
"PublishingDate";"2025-04-22 09:00"

"Date";"D0";"D1";"Value"
"2015-Q1";"EW";"TP3";
"2015-Q1";"EW";"TP1";"208.29763907"
"2015-Q1";"EW";"TP2";"178.85574672"
"2015-Q1";"EW";"AP";"180.75212269"
"2015-Q1";"EW";"TP";"192.05099004"
"2015-Q1";"EH";"TP3";
"2015-Q1";"EH";"TP1";"170.02718455"
"2015-Q1";"EH";"TP2";"164.12495149"
"2015-Q1";"EH";"AP";"158.73297329"
"2015-Q1";"EH";"TP";"160.6723421"
"2015-Q1";"MH";"TP1";"130.96596618"
"2015-Q1";"MH";"TP2";"128.02857577"
"2015-Q1";"MH";"TP";"127.49059634"
"2015-Q1";"MW";"AP";"153.85575244"
"2015-Q1";"BF";"AP";"128.43526634"
"2015-Q1";"GF";"AP";"112.40278822"
"2015-Q1";"VF";"AP";"121.03934494"
"2015-Q2";"EW";"TP3";
"2015-Q2";"EW";"TP1";"208.67759233"
"2015-Q2";"EW";"TP2";"179.37493637"
"2015-Q2";"EW";"AP";"181.72435259"
"2015-Q2";"EW";"TP";"190.18530736"
"2015-Q2";"EH";"TP3";
"2015-Q2";"EH";"TP1";"173.90837257"
"2015-Q2";"EH";"TP2";"164.83313931"
"2015-Q2";"EH";"AP";"159.35736414"
"2015-Q2";"EH";"TP";"160.9872911"
"2015-Q2";"MH";"TP1";"131.94798523"
"2015-Q2";"MH";"TP2";"127.80817753"
"2015-Q2";"MH";"TP";"130.46402411"
"2015-Q2";"MW";"AP";"154.11790156"
"2015-Q2";"BF";"AP";"129.29362889"
"2015-Q2";"GF";"AP";"109.93312026"
"2015-Q2";"VF";"AP";"121.48421885"
"2015-Q3";"EW";"TP3";
"2015-Q3";"EW";"TP1";"212.27752264"
"2015-Q3";"EW";"TP2";"178.99826937"
"2015-Q3";"EW";"AP";"181.75481307"
"2015-Q3";"EW";"TP";"190.97431259"
"2015-Q3";"EH";"TP3";
"2015-Q3";"EH";"TP1";"176.47405266"
"2015-Q3";"EH";"TP2";"165.1435778"
"2015-Q3";"EH";"AP";"159.53701728"
"2015-Q3";"EH";"TP";"161.06057195"
"2015-Q3";"MH";"TP1";"131.29600114"
"2015-Q3";"MH";"TP2";"127.75497796"
"2015-Q3";"MH";"TP";"132.32935923"
"2015-Q3";"MW";"AP";"153.20388275"
"2015-Q3";"BF";"AP";"131.55378512"
"2015-Q3";"GF";"AP";"109.72499796"
"2015-Q3";"VF";"AP";"119.02186851"
"2015-Q4";"EW";"TP3";
"2015-Q4";"EW";"TP1";"212.54584987"
"2015-Q4";"EW";"TP2";"180.91214497"
"2015-Q4";"EW";"AP";"182.24905239"
"2015-Q4";"EW";"TP";"191.3554606"
"2015-Q4";"EH";"TP3";
"2015-Q4";"EH";"TP1";"172.4036535"
"2015-Q4";"EH";"TP2";"164.35778036"
"2015-Q4";"EH";"AP";"160.62816582"
"2015-Q4";"EH";"TP";"161.98552109"
"2015-Q4";"MH";"TP1";"129.95153989"
"2015-Q4";"MH";"TP2";"127.70177839"
"2015-Q4";"MH";"TP";"146.0295638"
"2015-Q4";"MW";"AP";"153.38912174"
"2015-Q4";"BF";"AP";"130.7208427"
"2015-Q4";"GF";"AP";"110.25693022"
"2015-Q4";"VF";"AP";"114.98861596"
"2016-Q1";"EW";"TP3";
"2016-Q1";"EW";"TP1";"216.08613948"
"2016-Q1";"EW";"TP2";"182.86674132"
"2016-Q1";"EW";"AP";"182.6104004"
"2016-Q1";"EW";"TP";"193.80035261"
"2016-Q1";"EH";"TP3";
"2016-Q1";"EH";"TP1";"172.05442693"
"2016-Q1";"EH";"TP2";"164.73612728"
"2016-Q1";"EH";"AP";"160.73528158"
"2016-Q1";"EH";"TP";"163.7590767"
"2016-Q1";"MH";"TP1";"138.74114489"
"2016-Q1";"MH";"TP2";"128.15777474"
"2016-Q1";"MH";"TP";"142.72233343"
"2016-Q1";"MW";"AP";"152.63980007"
"2016-Q1";"BF";"AP";"131.21431313"
"2016-Q1";"GF";"AP";"112.17724885"
"2016-Q1";"VF";"AP";"112.69308794"
"2016-Q2";"EW";"TP3";
"2016-Q2";"EW";"TP1";"208.79722963"
"2016-Q2";"EW";"TP2";"184.23088669"
"2016-Q2";"EW";"AP";"182.24154759"
"2016-Q2";"EW";"TP";"189.13721073"
"2016-Q2";"EH";"TP3";
"2016-Q2";"EH";"TP1";"174.50145467"
"2016-Q2";"EH";"TP2";"164.40628638"
"2016-Q2";"EH";"AP";"161.21645146"
"2016-Q2";"EH";"TP";"164.53967684"
"2016-Q2";"MH";"TP1";"139.81993361"
"2016-Q2";"MH";"TP2";"127.67137863"
"2016-Q2";"MH";"TP";"142.95879985"
"2016-Q2";"MW";"AP";"151.57800579"
"2016-Q2";"BF";"AP";"131.39695042"
"2016-Q2";"GF";"AP";"114.78030519"
"2016-Q2";"VF";"AP";"115.71586996"
"2016-Q3";"EW";"TP3";
"2016-Q3";"EW";"TP1";"208.84220448"
"2016-Q3";"EW";"TP2";"187.06097933"
"2016-Q3";"EW";"AP";"184.25859655"
"2016-Q3";"EW";"TP";"187.21577168"
"2016-Q3";"EH";"TP3";
"2016-Q3";"EH";"TP1";"169.23173005"
"2016-Q3";"EH";"TP2";"165.52192472"
"2016-Q3";"EH";"AP";"161.71463193"
"2016-Q3";"EH";"TP";"164.16530419"
"2016-Q3";"MH";"TP1";"138.95718866"
"2016-Q3";"MH";"TP2";"127.67137863"
"2016-Q3";"MH";"TP";"141.65548492"
"2016-Q3";"MW";"AP";"151.24906228"
"2016-Q3";"BF";"AP";"132.10806957"
"2016-Q3";"GF";"AP";"116.2706723"
"2016-Q3";"VF";"AP";"115.28382495"
"2016-Q4";"EW";"TP3";
"2016-Q4";"EW";"TP1";"205.87318233"
"2016-Q4";"EW";"TP2";"188.01791713"
"2016-Q4";"EW";"AP";"184.43136291"
"2016-Q4";"EW";"TP";"185.52097497"
"2016-Q4";"EH";"TP3";
"2016-Q4";"EH";"TP1";"171.93848947"
"2016-Q4";"EH";"TP2";"166.89949554"
"2016-Q4";"EH";"AP";"162.96146143"
"2016-Q4";"EH";"TP";"162.73048123"
"2016-Q4";"MH";"TP1";"139.22680459"
"2016-Q4";"MH";"TP2";"127.92217662"
"2016-Q4";"MH";"TP";"144.22142056"
"2016-Q4";"MW";"AP";"151.38719878"
"2016-Q4";"BF";"AP";"131.63998899"
"2016-Q4";"GF";"AP";"116.60293667"
"2016-Q4";"VF";"AP";"117.06522193"
"2017-Q1";"EW";"TP3";"91.1885"
"2017-Q1";"EW";"TP1";"195.79519347"
"2017-Q1";"EW";"TP2";"189.80963046"
"2017-Q1";"EW";"AP";"184.64663663"
"2017-Q1";"EW";"TP";"185.77814994"
"2017-Q1";"EH";"TP3";"89.7446"
"2017-Q1";"EH";"TP1";"162.26022526"
"2017-Q1";"EH";"TP2";"167.92782305"
"2017-Q1";"EH";"AP";"164.62446737"
"2017-Q1";"EH";"TP";"164.42132229"
"2017-Q1";"MH";"TP1";"138.04245701"
"2017-Q1";"MH";"TP2";"129.99696002"
"2017-Q1";"MH";"TP";"146.33092101"
"2017-Q1";"MW";"AP";"151.53093533"
"2017-Q1";"BF";"AP";"132.42009374"
"2017-Q1";"GF";"AP";"116.2473021"
"2017-Q1";"VF";"AP";"115.58531885"
"2017-Q2";"EW";"TP3";"91.9562"
"2017-Q2";"EW";"TP1";"197.19185988"
"2017-Q2";"EW";"TP2";"190.9192711"
"2017-Q2";"EW";"AP";"184.9037268"
"2017-Q2";"EW";"TP";"187.41804166"
"2017-Q2";"EH";"TP3";"91.4114"
"2017-Q2";"EH";"TP1";"164.83121675"
"2017-Q2";"EH";"TP2";"169.0628638"
"2017-Q2";"EH";"AP";"164.80204775"
"2017-Q2";"EH";"TP";"166.96000855"
"2017-Q2";"MH";"TP1";"136.93799508"
"2017-Q2";"MH";"TP2";"131.32694938"
"2017-Q2";"MH";"TP";"148.44042146"
"2017-Q2";"MW";"AP";"150.7603827"
"2017-Q2";"BF";"AP";"130.86113918"
"2017-Q2";"GF";"AP";"113.48802485"
"2017-Q2";"VF";"AP";"114.95016463"
"2017-Q3";"EW";"TP3";"93.4385"
"2017-Q3";"EW";"TP1";"202.57125759"
"2017-Q3";"EW";"TP2";"190.51206352"
"2017-Q3";"EW";"AP";"182.85403901"
"2017-Q3";"EW";"TP";"189.77271702"
"2017-Q3";"EH";"TP3";"93.4627"
"2017-Q3";"EH";"TP1";"168.35685654"
"2017-Q3";"EH";"TP2";"170.78967792"
"2017-Q3";"EH";"AP";"165.5947609"
"2017-Q3";"EH";"TP";"167.24253786"
"2017-Q3";"MH";"TP1";"147.42840993"
"2017-Q3";"MH";"TP2";"133.40933273"
"2017-Q3";"MH";"TP";"144.99516069"
"2017-Q3";"MW";"AP";"149.6411028"
"2017-Q3";"BF";"AP";"129.23657989"
"2017-Q3";"GF";"AP";"113.92561743"
"2017-Q3";"VF";"AP";"116.7088194"
"2017-Q4";"EW";"TP3";"94.1815"
"2017-Q4";"EW";"TP1";"210.26887583"
